url,domain,title,issue_labels,missing_brand,missing_price,missing_currency,missing_availability,missing_image_url,no_variants,variant_count,variant_rows_missing_availability,variant_rows_missing_sku,variant_rows_missing_price,variant_rows_missing_currency,optionless_variant_rows,duplicate_image_identities,malformed_image_urls,manual_evidence_notes
https://www.sneakersnstuff.com/products/dime-soft-rock-crewneck-dime2sp2542blk,www.sneakersnstuff.com,Soft Rock Crewneck,,False,False,False,False,False,False,4,0,0,0,0,0,0,0,
https://www.grailed.com/listings/92502018-peter-do-velcro-strap-set-up-blazer-pants,www.grailed.com,Velcro Strap Set-up Blazer / Pants,variant_missing_sku|duplicate_image_identity,False,False,False,False,False,False,1,0,1,0,0,0,1,0,
https://sneakerpolitics.com/products/one-of-these-days-follow-the-road-pullover-hoodie-dark-brown,sneakerpolitics.com,One Of These Days Follow The Road Pullover Hoodie - Dark Brown,,False,False,False,False,False,False,5,0,0,0,0,0,0,0,
https://www.shoepalace.com/products/jordan-hj0139-045-40th-anniversary-graphic-womens-short-sleeve-shirt-black-red-1,www.shoepalace.com,40th Anniversary Graphic Womens Short Sleeve Shirt (Black/Red),cross_product_contamination,False,False,False,False,False,False,6,0,0,0,0,0,0,0,Primary/additional images and description reference other Jordan shirt products.
https://stockx.com/nike-dunk-low-retro-white-black-2021,stockx.com,Nike Dunk Low Retro White Black Panda,missing_price|missing_currency|missing_availability|no_variants,False,True,True,True,False,True,0,0,0,0,0,0,0,0,
https://www.dtlr.com/products/jordan-air-jordan-5-retro-white-metallic-mf-white-hq7978-103,www.dtlr.com,Air Jordan 5 Retro 'White Metallic',missing_price|missing_currency|variant_missing_offer|identifier_namespace,False,True,True,False,False,False,14,0,0,14,14,0,0,0,Top-level SKU equals a Shopify variant ID; URL exposes style code HQ7978-103.
https://kith.com/products/st40002-02000,kith.com,SATISFY TheROCKER - Jet Black,,False,False,False,False,False,False,30,0,0,0,0,0,0,0,
https://www.endclothing.com/us/47-ny-yankees-clean-up-cap-b-rgw17gws-vn.html,www.endclothing.com,47 NY Yankees Clean Up Cap,,False,False,False,False,False,False,1,0,0,0,0,0,0,0,
https://www.size.co.uk/product/purple-adidas-originals-sl-72-pt/19738059/,www.size.co.uk,adidas Originals SL 72 PT,,False,False,False,False,False,False,10,0,0,0,0,0,0,0,
https://www.backmarket.com/en-us/p/iphone-15-plus,www.backmarket.com,iPhone 15 Plus • Unlocked,no_variants|cross_product_contamination,False,False,False,False,False,True,0,0,0,0,0,0,0,0,Additional gallery contains a PlayStation image.
https://www.target.com/p/tobago-stripe-blue-twin-duvet-cover-set-levtex-home/-/A-1002150742,www.target.com,Tobago Stripe Blue Twin/Twin XL Duvet Cover Set - Levtex Home,missing_price|missing_currency|missing_availability|no_variants|brand_role_or_normalization,False,True,True,True,False,True,0,0,0,0,0,0,0,0,"Brand is retailer-like ""Target."" while title identifies Levtex Home."
https://www.nordstrom.com/s/air-force-1-07-basketball-sneaker-men/7507996,www.nordstrom.com,Air Force 1 '07 Basketball Sneaker,missing_price|missing_currency|no_variants,False,True,True,False,False,True,0,0,0,0,0,0,0,0,
https://us.frankbody.com/products/original-coffee-scrub,us.frankbody.com,Original Coffee Scrub,optionless_variant,False,False,False,False,False,False,1,0,0,0,0,1,0,0,
https://www.converse.com/shop/p/chuck-taylor-all-star-retro-embroidery-womens-high-top-shoe/A16914F.html?cgid=womens-high-top-shoes&styleNo=A16914F,www.converse.com,Chuck Taylor All Star Retro Embroidery,missing_image_url|no_variants,False,False,False,False,True,True,0,0,0,0,0,0,0,0,
https://colourpop.com/products/going-coconuts-eyeshadow-palette,colourpop.com,Going Coconuts,no_variants,False,False,False,False,False,True,0,0,0,0,0,0,0,0,
https://www.birkenstock.com/us/arizona-birko-flor/arizona-core-birkoflor-0-eva-u_1.html,www.birkenstock.com,arizona core birkoflor 0 eva u 1,no_variants|title_normalization,False,False,False,False,False,True,0,0,0,0,0,0,0,0,Title is a raw slug/catalog token sequence.
https://www.vans.com/en-us/p/shoes/icons/old-skool-5205/old-skool-VN000E9TBPG,www.vans.com,Old Skool Shoe,no_variants,False,False,False,False,False,True,0,0,0,0,0,0,0,0,
https://www.puravidabracelets.com/products/black-seascape-stretch-bracelet,www.puravidabracelets.com,Black Seascape Stretch Bracelet,no_variants,False,False,False,False,False,True,0,0,0,0,0,0,0,0,
https://bombas.com/products/mens-all-purpose-performance-ankle-socks,bombas.com,Men's All Sport Ankle Socks,no_variants,False,False,False,False,False,True,0,0,0,0,0,0,0,0,
https://savannahs.com/products/pavlova-100-lace-up-blush-satin-boots-cl28517s,savannahs.com,Pavlova 100 Lace Up Blush Satin Boots,,False,False,False,False,False,False,5,0,0,0,0,0,0,0,
https://31philliplim.com/products/luna-1,31philliplim.com,Luna Bag,,False,False,False,False,False,False,2,0,0,0,0,0,0,0,
https://www.nike.com/t/air-force-1-07-mens-shoes-jBrhbr/CW2288-111,www.nike.com,Nike Air Force 1 '07 Men's Shoes,missing_availability|variant_missing_availability,False,False,False,True,False,False,24,5,0,0,0,0,0,0,
https://in.puma.com/in/en/pd/speedcat-sneakers/406329,in.puma.com,Speedcat Sneakers,variant_missing_sku,False,False,False,False,False,False,8,0,8,0,0,0,0,0,
